Date,Mkt-RF,SMB,HML,RF
1968-07-31,-2.709538993119686,-0.9209997428415263,5.063482216533275,0.48
1968-08-31,1.3500768165239836,2.499233405667566,1.6751594485049572,0.42
1968-09-30,3.9837947506952283,1.7025958378927237,1.4823813827080958,0.43
1968-10-31,0.425333215335331,0.7954110533942254,4.055981193416191,0.44
1968-11-30,5.42509677690651,2.190467687469564,-2.027375815489194,0.42
1968-12-31,-3.9326879957739944,3.639347706454886,-0.2653668086934482,0.43
1969-01-31,-1.2680784350117442,-0.4702843303752136,1.4756276800022765,0.53
1969-02-28,-5.819578687242156,-4.487931541300427,-0.3087046770191282,0.45999999999999996
1969-03-31,2.6411474354974525,-0.5555312524889944,1.6181092317049215,0.45999999999999996
1969-04-30,1.4816950688066648,-0.8977704783103476,0.0009332791902055132,0.53
1969-05-31,-0.09676818051753888,1.790617888593978,0.905079902154118,0.48
1969-06-30,-7.158153637787382,-4.881688525914296,-3.307674065908661,0.51
1969-07-31,-6.991503158824128,-2.835668993110188,0.8990586379268652,0.53
1969-08-31,4.655924530103251,-0.15578122432208727,-4.209327295219224,0.5
1969-09-30,-2.9799612363423713,0.48550675184697195,-1.6631210421572749,0.62
1969-10-31,5.037891753532902,2.132722413812788,-2.1618806650240545,0.6
1969-11-30,-3.7965738130973703,-2.0062232083308187,-2.5471679153080027,0.52
1969-12-31,-2.6307649446080625,-4.886870519118588,-1.9387884364982442,0.64
1970-01-31,-8.086178751980936,3.8769200486439823,2.0430602087082623,0.6
1970-02-28,5.105935954536676,-2.415880094586381,3.732925992789345,0.62
1970-03-31,-1.0328259384137382,-2.0138339120566706,3.441161330872605,0.5700000000000001
1970-04-30,-10.989177046822562,-6.07596320909599,6.308484950310361,0.5
1970-05-31,-6.933540680436046,-3.971139990819529,1.7969676581534741,0.53
1970-06-30,-5.785398956636216,-1.992543554875486,1.518685104059997,0.58
1970-07-31,6.932927564025168,0.5224187286173632,0.2646672529996369,0.52
1970-08-31,4.542811791816013,2.189898523827951,1.9325644652098997,0.53
1970-09-30,4.1679985381614095,8.148303162696557,-4.093990834920033,0.54
1970-10-31,-2.2725518225951795,-3.303809062117132,-1.5441191957244402,0.45999999999999996
1970-11-30,4.595616170262532,-4.067919037489833,1.6918187801891995,0.45999999999999996
1970-12-31,5.734610696079135,3.665348933433304,3.022427140116978,0.42
1971-01-31,4.836852215401221,6.84699189221479,3.316581710909161,0.38
1971-02-28,1.4084146426495243,2.1821569221806065,-1.5498293465970585,0.33
1971-03-31,4.121149910819232,1.0457932619300578,-2.2905734391256134,0.3
1971-04-30,3.183818313333812,-1.2136597127746138,1.0901711839624357,0.27999999999999997
1971-05-31,-3.975753485472635,-1.927653156923963,0.5746152665922495,0.29
1971-06-30,-0.08518627030770914,-1.5576379316306672,-1.76521958267735,0.37
1971-07-31,-4.4852629579661185,-0.41499274085616333,-0.30751209830685855,0.4
1971-08-31,3.7819715298070795,-0.9043429338167319,3.082445823042007,0.47000000000000003
1971-09-30,-0.8638644190440654,1.6207675679817852,-3.4759956724451313,0.37
1971-10-31,-4.416224076047551,-1.4971856070648353,-1.2860843161685522,0.37
1971-11-30,-0.4580138390796731,-3.216116935212934,-1.7676306534246462,0.37
1971-12-31,8.696553313135484,2.665356578768123,-0.1194821117983011,0.37
1972-01-31,2.491267278227331,6.3845526373108585,2.5355375600972367,0.29
1972-02-29,2.8636456917288755,0.6310461110093118,-1.9071477550963265,0.25
1972-03-31,0.6279677225042294,-0.7533877223160771,-2.164313972332379,0.27
1972-04-30,0.2902904915024927,0.03822841002031688,-0.13045889631695065,0.29
1972-05-31,1.251221685640138,-1.5087740736397244,-4.143508616443259,0.3
1972-06-30,-2.43103190635239,2.2142155910784393,-1.592976740039739,0.29
1972-07-31,-0.7877606659722628,-3.1878746251075563,-0.23451140355240166,0.31
1972-08-31,3.269245063365953,-4.176444744187253,4.6468622645072815,0.29
